misc/nupdates,misc/total_timesteps,fps,eprewmean
11280,4061160,40,0.6647450044751168
11300,4068360,40,0.31561145395040513
11320,4075560,40,0.2485947471857071
11340,4082760,40,0.39676055014133454
11360,4089960,40,0.2502203783392906
11380,4097160,40,0.07143139213323593
11400,4104360,40,0.06223653614521027
11420,4111560,40,0.12867596864700317
11440,4118760,40,0.5123915791511535
11460,4125960,40,0.4352889636158943
11480,4133160,40,0.3837585014104843
11500,4140360,40,0.7416352182626724
11520,4147560,40,1.1775758656859399
11540,4154760,40,1.3463895109295845
11560,4161960,40,1.3017161783576012
11580,4169160,40,1.3221942636370658
11600,4176360,40,1.2795688876509665
11620,4183560,40,1.3192254921793938
11640,4190760,40,1.376545588374138
11660,4197960,40,1.1726100993156434
11680,4205160,40,1.0552545166015626
11700,4212360,40,1.1188572177290916
11720,4219560,40,1.083396542966366
11740,4226760,40,1.2528181001543999
11760,4233960,40,1.1092616939544677
11780,4241160,40,1.0555211979150771
11800,4248360,40,0.9234325608611107
11820,4255560,40,0.6975736108422279
11840,4262760,40,0.4849955862760544
11860,4269960,40,0.2420639342069626
11880,4277160,40,0.2911170506477356
11900,4284360,40,0.27029226034879683
11920,4291560,40,0.2502885973453522
11940,4298760,40,0.3556553581357002
11960,4305960,40,0.47817614138126374
11980,4313160,40,0.769497520327568
12000,4320360,40,0.6160505786538124
12020,4327560,40,0.6680093097686768
12040,4334760,40,0.6867563784122467
12060,4341960,40,0.6264756178855896
12080,4349160,40,0.7019000872969627
12100,4356360,40,0.44735075056552887
12120,4363560,40,0.08844241023063659
12140,4370760,40,0.12952517837285996
12160,4377960,40,0.02450691819190979
12180,4385160,40,0.07419156908988953
12200,4392360,40,-0.15733507961034776
12220,4399560,39,-0.154230338037014
12240,4406760,39,-0.07607579827308655
12260,4413960,39,0.3303625997900963
12280,4421160,39,0.2730614027380943
12300,4428360,39,0.21398371279239656
12320,4435560,39,-0.0601701420545578
12340,4442760,39,-0.30771872580051424
12360,4449960,39,-0.3779861354827881
12380,4457160,39,-0.758142896592617
12400,4464360,39,-0.8646209707856178
12420,4471560,39,-0.6659286305308342
12440,4478760,39,-0.6468704435229301
12460,4485960,39,-0.5463465774059295
12480,4493160,39,-0.6711652636528015
12500,4500360,39,-0.7111972326040268
12520,4507560,39,-0.32889673799276353
12540,4514760,39,-0.37674443632364274
12560,4521960,39,-0.3688190484046936
12580,4529160,39,-0.2078086405992508
12600,4536360,39,-0.1833530756831169
12620,4543560,39,-0.04027767449617386
12640,4550760,39,-0.06208951622247696
12660,4557960,39,-0.2884378680586815
12680,4565160,39,-0.1469684785604477
12700,4572360,39,-0.012442124485969543
12720,4579560,39,0.2447494626045227
12740,4586760,39,0.4501572036743164
12760,4593960,39,0.4355772525072098
12780,4601160,39,0.6293389999866486
12800,4608360,39,0.6184908354282379
12820,4615560,39,0.8141809225082397
12840,4622760,39,0.7450719618797302
12860,4629960,39,0.7190577375888825
12880,4637160,39,0.8081418204307557
12900,4644360,39,0.707920835018158
12920,4651560,39,0.6418985915184021
12940,4658760,39,0.5647882607579231
12960,4665960,39,0.5983184495568276
12980,4673160,39,0.5787421336770058
13000,4680360,39,0.25556051820516584
13020,4687560,39,-0.05410024911165237
13040,4694760,39,0.16235149413347244
13060,4701960,39,0.023072911500930784
13080,4709160,39,0.096282839179039
13100,4716360,39,-0.2673728948831558
13120,4723560,39,-0.21642666459083557
13140,4730760,39,0.0023188352584838866
13160,4737960,39,-0.010027788281440735
13180,4745160,39,0.05763150751590729
13200,4752360,39,-0.04519057542085648
13220,4759560,39,-0.12630615264177322
13240,4766760,39,0.04317737072706222
13260,4773960,39,-0.18394651085138322
13280,4781160,39,-0.31524835020303726
13300,4788360,39,-0.5094477906823158
13320,4795560,39,-0.5680843371152878
13340,4802760,39,-0.33025209218263624
13360,4809960,39,-0.18649353533983232
13380,4817160,39,-0.27889596492052077
13400,4824360,39,-0.23400015026330948
13420,4831560,39,-0.06721685081720352
13440,4838760,39,-0.0379896005988121
13460,4845960,39,-0.3067220985889435
13480,4853160,39,-0.41082995116710663
13500,4860360,39,-0.7234597539901734
13520,4867560,39,-0.7209098610281944
13540,4874760,39,-0.829718790948391
13560,4881960,39,-0.9270485576987266
13580,4889160,39,-0.8993891045451164
13600,4896360,39,-0.8867933902144433
13620,4903560,39,-0.7752524742484093
13640,4910760,39,-0.6341329985857009
13660,4917960,39,-0.40435131430625915
13680,4925160,39,-0.2616137981414795
13700,4932360,39,-0.17722452342510223
13720,4939560,39,-0.130260454416275
13740,4946760,39,-0.05692574083805084
13760,4953960,39,-0.10772277891635895
13780,4961160,39,-0.4327806144952774
13800,4968360,39,-0.22258803963661195
13820,4975560,39,-0.1350324845314026
13840,4982760,39,-0.0817903995513916
13860,4989960,39,-0.009567111134529113
13880,4997160,39,0.15970861792564392
13900,5004360,39,0.2566788285970688
13920,5011560,39,0.4519257205724716
13940,5018760,39,0.4916238886117935
13960,5025960,39,0.4187178283929825
13980,5033160,39,0.40322179585695267
14000,5040360,39,0.24757503598928451
